ES	State	Phase	A1	A2	A3	B1	B2	C1	C2
ES001	1	A1		1.7D	1.7C	1.7B	1.7A		
ES001	1	A2	1.6F		1.6E	1.6D	1.6C	1.6B	1.6A
ES001	1	A3	1.5D	1.5C				1.5B	1.5A
ES001	1	B1	1.4C	1.4B			1.4A		
ES001	1	B2	1.3D	1.3C		1.3B		1.3A	
ES001	1	C1		1.2D	1.2C		1.2B		1.2A
ES001	1	C2		1.1C	1.1B			1.1A	
ES001	2	A1		A1B1	A1A2	A1B2			
ES001	2	B1	B1A1		B1A2	B1B2			
ES001	2	A2		A2B1		A2B2			
ES001	2	B2	B2A1	B2B1	B2A2				
ES001	3	A1		A1B1		A1B2	A1C1		
ES001	3	B1	B1A1		B1A2		B1C1		
ES001	3	A2		A2B1		A2B2	A2C1		
ES001	3	B2	B2A1		B2A2		B2C1		
ES001	3	C1	C1A1	C1B1	C1A2	C1B2			
ES001	4	A1		A1A2	A1B1	A1B2			
ES001	4	A2	B1A1		A2B1	A2B2			
ES001	4	B1	A2A1	A2B1		B1B2	B1C1	B1C2	
ES001	4	B2	B2A1	B2B1	B2A2		B2C1	B2C2	
ES001	4	C1			C1B1	C1B2		C1C2	
ES001	4	C2			C2B1	C2B2	C2C1		
ES001	5	A1		A1B1	A1A2				
ES001	5	B1	B1A1		B1A2				
ES001	5	A2	A2A1	A2B1					
ES001	6	A1		A1B1					
ES001	6	B1	B1A1						
ES001	7	A1		A1B1					
ES001	7	B1	B1A1						
ES001	8	8.1							
ES002	1	A1		1.7D	1.7C	1.7B	1.7A		
ES002	1	A2	1.6F		1.6E	1.6D	1.6C	1.6B	1.6A
ES002	1	A3	1.5D	1.5C				1.5B	1.5A
ES002	1	B1	1.4C	1.4B			1.4A		
ES002	1	B2	1.3D	1.3C		1.3B		1.3A	
ES002	1	C1		1.2D	1.2C		1.2B		1.2A
ES002	1	C2		1.1C	1.1B			1.1A	
ES002	2	A1		A1B1	A1A2	A1B2			
ES002	2	B1	B1A1		B1A2	B1B2			
ES002	2	A2	A2A1	A2B1		A2B2			
ES002	2	B2	B2A1	B2B1	B2A2				
ES002	3	A1		A1A2					
ES002	3	A2	A2A1						
ES002	3	B1				B1B2			
ES002	3	B2			B2B1				
ES002	3	C1							
ES002	3	C2							
ES003	1	A1							
ES003	2	A2							
ES003	3	A3							
ES003	4	B1							
ES003	5	B2							
ES003	6	C1							
